caseID,resp.cat,OEV.MA,AUC.delatbm.tot.MA,Recov.MA,Resist.MA,CV.MA
CK062_1,abundance,0.020862048084471427,-0.018412261375134634,-0.007833915893840044,-0.1441286445070624,-1.0544759175575926
CK062_2,abundance,0.023282213237724857,-2.6265572160061226e-4,0.020199711405072093,-0.140876633556187,-0.7147614666091598
CK063_1,biomass,0.2746125530551343,-0.24107013749101822,0.2788286285236243,-0.6461816095368303,-0.813427813943201
CK063_2,biomass,0.42246003395150944,-0.42246003395150944,-0.33540271536859156,-0.6755651914203789,-2.7190317593508593
CK064_1,abundance,0.15472702637407604,-0.14407943524522257,0.07317072991671626,0.04166666853298608,-0.5105976422443171
CK064_2,abundance,0.20051701810935837,-0.1906910554420061,-0.3707865176122543,-0.22302158296844535,-0.9184767056656941
CK064_3,abundance,0.13180028978924627,-0.09513984493992213,-0.006993006196228056,-0.6756756752179207,-0.805372615413082
CK064_4,abundance,0.18068943929631304,-0.18001189504375814,-0.20618556800000004,-0.7222222221024692,-1.2626374375228666
CK066_1,abundance,0.10590968082741868,-0.10590968082741868,-0.09906542032752784,-0.17412935214653105,-1.3229394756578414
CK066_2,abundance,0.04752809106798402,-0.04383962891149686,-0.006849314563395255,-0.08755760267145193,-0.2907062594756914
CK066_3,abundance,0.26526623249728776,-0.2619471209576686,-0.24576271217370488,-0.0776255699680991,-1.0261402686816266
CK066_4,abundance,0.33747234537080817,-0.33747234537080817,-0.19028339978615175,-0.2620320846747691,-1.6691774249703748
CK066_5,abundance,0.38545875622846065,-0.3847985168052851,-0.2894736842726608,-0.38823529346196084,-1.4983537272395735
CK067_1,biomass,0.5156315067695512,-0.5156315067695512,-0.04186046475868036,-0.8444444443262963,-1.1283464323917562
CK067_2,biomass,0.24568383033883295,-0.2456813966631639,-0.15714285711326534,-0.44285714313826524,-1.1583877202604307
CK071_2,biomass,0.42100180300952833,-0.42100180300952833,-0.3846153847618343,-0.6216216216216216,-5.587446359558476
CK071_3,biomass,0.5300873999988774,-0.5300873999988774,-0.5824175821545707,-0.7142857142857142,-9.877816816255844
CK073_1,biomass,0.1611622294497719,-0.15114046979853402,-0.15648732616028446,-0.42706838906633865,-0.7189884456861033
CK073_2,biomass,0.09258967837255523,-0.07600810826447785,-0.06553661201321362,-0.353287981575249,-0.4806170900763665
CK073_3,biomass,0.2328482016227789,-0.23283615233956415,-0.16120717531177475,-0.7117944012733672,-1.168456077159529
CK074_1,abundance,0.11186081964909539,0.04796369639431193,0.1613334856846108,-0.13224875878474787,0.3741334103120414
CK074_2,abundance,0.13939700934737276,0.13911062629200788,0.04326135556348578,-0.01136771980806092,1.2109517302545014
CK075_1,abundance,0.15502713321351386,-0.14844463632918678,0.07718120805369127,-0.3649122807017544,-0.963920280821801
CK080_1,biomass,0.19204332834189894,-0.19204332834189894,-0.04968967605207386,-0.6043641712978098,-0.8656118785949115
CK080_2,biomass,0.296005054284356,-0.29600416142468816,-0.19197817818586965,-0.24273092369477917,-1.440543016941686
CK081_1,abundance,0.31873554731253034,-0.31873554731253034,-0.3010790595928243,-0.20628133402685989,-2.925020939650163
CK081_2,abundance,0.33107171054148554,-0.33107171054148554,-0.3956092185370415,-0.11739228924265878,-1.7164131730395868
CK081_3,abundance,0.47260151478207096,-0.47260151478207096,-0.49021144132208083,-0.23730280776958715,-2.5907564453647542
CK081_4,abundance,0.3588557413128901,-0.3588557413128901,-0.48470864769849664,-0.11589274021989293,-2.3126474515236675
HH001_1,abundance,0.045505481442685826,0.02371233164530339,-0.03405059795653929,0.020991363124295906,0.7550183017799649
HH001_10,biomass,0.15921927150887133,0.13396369366972272,0.3588907019911169,0.034635632585203635,0.3531870432692411
HH001_11,biomass,0.08755279960216973,0.05193471826332933,0.2938005390835579,-0.006064106262740939,0.08693881565707687
HH001_12,biomass,0.1679629864722037,0.14747440272453793,0.3344623206312766,-0.10743801681263895,0.29701744019148424
HH001_13,biomass,0.05187029583916852,0.021198762784216948,-0.10229645093945718,-0.044160132462170876,-0.09111911784376771
HH001_14,biomass,0.09274327359671417,0.09065673027534371,0.147470398277718,-0.023462783980582592,0.7593244790563131
HH001_15,biomass,0.17902268636210525,0.1687832726141499,0.3293818797629128,-0.17565055745757385,0.42426999253469383
HH001_16,biomass,0.078173279492289,-0.027764161793545305,-0.13860667592938802,-0.10973936831275723,-0.020642616892080523
HH001_17,biomass,0.06838636017994126,0.06270963778038074,0.026976744186046432,-0.02275600507127436,0.5212292135401909
HH001_18,biomass,0.05213446644899464,0.0211498823656766,0.09956958418950657,-0.052700065096096343,-0.04940139385546075
HH001_2,abundance,0.9999796941364764,0.9999796941364764,0.9999339891969894,0.9999942683669018,43685.02406753497
HH001_3,abundance,0.2450026427469708,0.07259374194890807,0.5472238730016072,-0.19279999942355625,0.25441824759919746
HH001_34,biomass,0.0888933319844861,-0.07227540940073823,0.06198825676977738,-0.175190967344183,-0.4357972157767142
HH001_35,biomass,0.05579608173434434,-0.05273988349651501,-0.06602997802228343,-0.11776146574381577,-1.0044421769828982
HH001_36,biomass,0.0452348303755854,-0.025117488726460024,-0.21232359661149444,0.07087231751225129,-0.34403851470771674
HH001_37,biomass,0.09292622112913433,0.0921460248382361,0.24895423235235128,0.15884405388577902,1.2984883019612692
HH001_38,biomass,0.11189153565313362,-0.11189153565313362,-0.6234271964140858,-0.21735619650919985,-0.824943932446358
HH001_39,biomass,0.12600648774936513,-0.12600648774936513,-0.24791329879942986,-0.3414170824082249,-1.272746183447683
HH001_4,abundance,0.05789278185012589,-0.01912539416485331,0.11778546712802768,0.0720709255959956,0.1832247909519882
HH001_5,abundance,0.07995983212356768,-0.0686155614826292,-0.007163172864215738,0.007688992719272381,-0.257937359701688
HH001_6,abundance,0.05097271007605281,-0.03549829317272915,0.04972046216921357,0.09672757303602766,-0.09284634746543746
HH001_7,abundance,0.04173602074046599,-0.01972113987514427,-0.08200675349734685,0.011859199890160812,-0.12267024953537489
HH001_8,abundance,0.05038988767291483,-0.045877524589023846,-0.05451437119350358,0.0777363084463951,-0.3013302870161866
HH001_9,abundance,0.05461014046583173,-0.052060957817809374,-0.09723611944944745,0.059538393688440244,-0.6257553150305454
HH002_1,abundance,0.005674479200707155,0.0039047512431123954,0.0054466381027171275,0.006799434206578816,0.548194345121774
