"","caseID","resp.cat","OEV","Deltabm.Tot","CV","Resistance","Recovery"
"71","HH014_1","abundance",0.443532431902224,-0.442919732204708,-1.55522516990606,-0.928571428641326,-0.3899999984656
"72","HH018_1","abundance",0.171358883629312,-0.171358883629312,-0.74147216586147,-0.959731543647303,-0.133333333397619
"73","CK053_1","abundance",0.280669801614659,-0.253234043897095,-1.16138532562239,-0.800000000093949,0.175757576666006
"74","CK062_1","abundance",0.0208620480844714,-0.0184122613751346,-1.05447591755759,-0.144128644507062,-0.00783391589384004
"75","CK062_2","abundance",0.0232822132377249,-0.000262655721600614,-0.71476146660916,-0.140876633556187,0.0201997114050721
"76","CK056_1","abundance",0.143484318958885,-0.135812908312106,-0.96741682064539,-0.663934426188237,0.0370370355049615
"77","CK056_2","abundance",0.290345148876619,-0.286407801983534,-1.34439823529814,-0.677685950155191,0.0622950808314202
"78","CK056_3","abundance",0.590592530955559,-0.590592530955559,-2.64159340694406,-0.961352656955228,-0.311926607081535
"79","CK056_4","abundance",0.386990358077068,-0.386990358077068,-1.58406710751806,-0.879629629521666,-0.0751879709666217
"80","CK041_1","abundance",0.247572428140816,-0.247572428140816,-1.53098968725408,-0.642276422013881,-0.0384615385569527
"81","CK041_10","abundance",0.499731997166444,-0.499731997166444,-2.24942855344203,-0.550000000188611,-0.225806451612903
"82","CK041_11","abundance",0.224484504080593,-0.192153415103492,-0.533139357456775,-0.803921568419531,-0.124999999675
"83","CK041_12","abundance",0.203102425970617,-0.158494608225891,-0.430173073599786,-0.749999999589844,0.121951219199881
"84","CK041_2","abundance",0.593428569150964,-0.593428569150964,-4.72539333536931,-0.70416868689862,-0.745541715765191
"85","CK041_3","abundance",0.234158546411553,-0.186042040981844,-0.461969269195762,-1,-0.264150941025276
"86","CK041_4","abundance",0.268975672368933,-0.268975672368933,-2.20194779897126,-0.2500000005625,-0.0780141849548815
"87","CK041_5","abundance",0.158161277956216,0.0255708500319788,-0.291055981369112,-0.0344827598287753,0
"88","CK041_6","abundance",0.251446301442707,-0.251446301442707,-1.01763788283005,-0.846153846031156,-0.0333333332325396
"89","CK041_7","abundance",0.525331890308641,-0.525331890308641,-3.55296531266528,-0.275362319047619,-0.504424777654588
"90","CK041_8","abundance",0.545670182836528,-0.545670182836528,-3.47425106049741,-0.76975051975052,-0.422166352398911
"91","CK041_9","abundance",0.273069469117663,-0.273069469117663,-1.81031579067188,-0.57142857198682,-0.463414635548285
"92","HH003_1","abundance",0.119741264080285,0.110946101494945,0.446359246221175,-0.0693348364372745,-0.0393186321230851
"93","HH003_3","abundance",0.0815590466505322,0.0529457714056839,0.125848493688066,-0.0748706823960938,-0.120340384033778
"94","HH003_4","abundance",0.374784049321489,0.145734178830412,-0.0432161534187618,-0.405739895294182,-0.772745181365021
"95","CK076_3","biomass",0.269161719323156,-0.269050482766101,-0.97741365561276,-0.103097101289541,0.0121212121212123
"96","CK076_8","biomass",0.243189334259472,-0.241036015581256,-0.620057275632318,0.0608524862541196,0.0052376925525325
"97","CK015_10","abundance",0.742708794151754,-0.742708794151754,-2.38768694624421,-0.276595743247322,-0.906249999116443
"98","CK015_11","abundance",0.692103731356712,-0.692103731356712,-35.4663165794359,-0.809523814652845,-0.758883247507022
"99","CK015_12","abundance",0.206657729821378,0.115768298922704,0.181216630145139,-0.0586444160638682,0.353931196542597
"100","CK015_13","abundance",0.594612019803748,-0.594612019803748,-3.00583646182428,-0.892173046685144,-0.889466137277701
"101","CK015_14","abundance",0.0844430894554191,-0.0103018212560495,-0.265649387659611,-0.437938782783278,-0.0898721070672858
"102","CK015_15","abundance",0.516181196436032,-0.516034563290066,-1.43532634110491,-0.809523814652845,0.0149253777699986
"103","CK015_20","abundance",0.279263375618843,-0.279263375618843,-1.23796617932399,-0.85977859783772,-0.0338983041100669
"104","CK015_21","abundance",0.53898298124783,-0.531710263472388,-1.20479061462074,-0.655368443732949,0.12054477145317
"105","CK015_22","abundance",0.0182416885299843,0.010932770546083,0.591213111387963,0.148668960724414,0.0316882255597658
"106","CK015_23","abundance",0.0497507591095771,-0.04522582291179,-0.338805324505189,0.0696138515351516,-0.024336975969308
"107","CK015_24","abundance",0.480816093689147,-0.480816093689147,-2.46409140927241,-0.767441852635917,-0.758883247507022
"108","CK015_25","abundance",0.197673105447483,0.143696439722285,-0.0253668780862268,-0.671176777971446,0.0905818171947616
"109","CK015_26","abundance",0.207941954240788,-0.207941954240788,-1.42836459122621,-0.495562514541669,-0.307749530163593
"110","CK015_27","abundance",0.118336399828155,-0.118142166729435,-0.758649314300221,0.0247595454345708,-0.0430036430966693
"111","CK015_6","abundance",0.718222541786865,-0.718222541786865,-11.2168570228933,-0.85977859783772,-0.906249999116443
"112","CK015_7","abundance",0.59273105860095,-0.59273105860095,-2.78981453469403,-0.33816006333722,-0.501731816923713
"113","CK015_8","abundance",0.118399436166293,-0.113788494446233,-0.628951686784518,0.0767734124834756,-0.0990807570852609
"114","CK015_9","abundance",0.143043936027473,-0.138542991919249,-0.952178164194158,-0.410517765651841,-0.0954287609519773
"115","HH001_34","biomass",0.0888933319844861,-0.0722754094007382,-0.435797215776714,-0.175190967344183,0.0619882567697774
"116","HH001_35","biomass",0.0557960817343443,-0.052739883496515,-1.0044421769829,-0.117761465743816,-0.0660299780222834
"117","HH001_36","biomass",0.0452348303755854,-0.02511748872646,-0.344038514707717,0.0708723175122513,-0.212323596611494
"118","HH001_37","biomass",0.0929262211291343,0.0921460248382361,1.29848830196127,0.158844053885779,0.248954232352351
"119","HH001_38","biomass",0.111891535653134,-0.111891535653134,-0.824943932446358,-0.2173561965092,-0.623427196414086
"120","HH001_39","biomass",0.126006487749365,-0.126006487749365,-1.27274618344768,-0.341417082408225,-0.24791329879943
"121","HH002_1","biomass",0.211380030202495,0.211380030202495,0.887628584636336,0.0789473684210526,1
"122","HH002_4","biomass",0.346488467024779,0.346468588989128,1.17465984197764,-0.00506146059291398,1
