caseID,Recov,Resist,OEV,CV,AUC.delatbm.tot
CK015_15,0.98,0.632183908045977,0.8533107386690888,5.10610525612629,0.8533107386690888
CK015_21,-0.12244897959183673,0.6363636363636364,0.3531741995644882,-0.20248388826169852,-0.3056152770055657
CK015_25,-0.35714285714285715,0.8933333333333333,0.581235893053666,0.9530933109084121,0.5335333257882278
CK015_26,-0.029411764705882353,-0.563076923076923,0.05895730553639864,-0.4729468512476403,-0.014233400784202913
CK015_27,0.13142857142857142,-0.24064171122994651,0.17168944998283714,0.31406980348891894,0.15265564231493178
CK015_7,-0.5904761904761905,0.10204081632653061,0.4168421755479461,-0.1885994834519824,-0.24602086230440606
CK015_9,0.36507936507936506,0.6363636363636364,0.1725766450768024,0.28697930169310826,0.006066341840400412
CK019_1,-0.13532405341646975,-0.9032230818872974,0.0963436564405567,-0.7220543267567254,-0.09197484547061291
CK019_2,-0.04813620108551191,-0.870794713268764,0.19355827267313697,-0.8066533941030495,-0.19355827267313697
CK019_3,-0.21200840364557424,-0.7071120769984673,0.3220472186285505,-1.3335425434912196,-0.3220457257938866
CK021_1,-0.23027022610700484,-0.9738002725517619,0.3309482577521846,-1.8261049343492122,-0.3309482577521846
CK027_2,0.03986200516528335,0.12416645996458749,0.14794504813760817,0.9196323176599024,0.14794504813760817
CK032_1,0.5152081123616535,0.11856889828703886,0.3228022856898376,1.6168347844282591,0.3228022856898376
CK032_2,0.5903650564935699,0.11491818038071154,0.2862846805087357,1.6114120036931001,0.2862846805087357
CK041_1,-0.21773339385686208,-0.8522225992534783,0.4553286529486317,-2.2385565631348077,-0.4553286529486317
CK041_5,0.16962485670237556,0.16145871094033357,0.4020057690865212,0.4077063463224515,0.3331895006447102
CK041_7,-0.5001737921445952,-0.10804399396161309,0.5373659583861314,-2.208517598595164,-0.5373659583861314
CK041_9,-0.480059351009613,-0.8510958481247107,0.2370795590134191,-1.1269440923629195,-0.23603127307637162
CK043_1,-0.09061058527367345,-0.5562359431111522,0.2137149358732755,-1.4282330781896295,-0.2137149358732755
